county,cases,deaths
Volusia,1751,25
Wabash,33,0
Wabasha,89,0
Wabaunsee,5,0
Wagoner,426,28
Wahkiakum,11,0
Wake,3933,0
Wakulla,47,0
Waldo,55,3
Walker,805,0
Walla Walla,170,0
Waller,84,0
Wallowa,11,0
Walsh,26,0
Walthall,149,0
Walton,552,10
Walworth,227,0
Wapello,22,0
Ward,205,0
Ware,262,26
Warren,3703,80
Warrick,187,0
Wasatch,954,0
Wasco,83,0
Waseca,62,0
Washakie,32,0
Washington,11741,192
Washita,1,0
Washoe,3201,54
Washtenaw,6218,125
Watauga,111,0
Watonwan,33,0
Waukesha,2013,31
Waupaca,24,13
Waushara,5,0
Wayne,87378,3236
Waynesboro city,23,0
Weakley,34,0
Webb,1047,48
Weber,826,10
Webster,656,42
Weld,5490,273
Wells,38,0
West Baton Rouge,439,57
West Carroll,4,0
West Feliciana,214,0
Westchester,191176,1936
Westmoreland,1582,2
Wetzel,22,0
Wexford,57,0
Wharton,134,0
Whatcom,2753,174
Wheeler,14,0
White,388,0
White Pine,1,0
Whiteside,164,10
Whitfield,213,18
Whitley,61,5
Whitman,145,0
Wichita,567,0
Wicomico,164,13
Wilcox,125,0
Wilkes,78,8
Wilkin,25,2
Wilkinson,357,34
Will,7035,220
Willacy,48,6
Williams,54,0
Williamsburg,95,0
Williamsburg city,177,19
Williamson,4253,46
Wilson,1377,11
Winchester city,105,0
Windham,705,8
Windsor,384,24
Winn,33,7
Winnebago,763,19
Winneshiek,58,0
Winona,161,17
Winston,191,0
Wirt,12,0
Wise,45,0
Wood,488,4
Woodbury,102,0
Woodford,183,0
Woodruff,17,0
Woodson,36,0
Woodward,8,0
Worcester,11271,200
Worth,490,24
Wright,224,0
Wyandot,46,1
Wyandotte,1993,109
Wyoming,284,8
Wythe,31,0
Yadkin,69,0
Yakima,3870,118
Yalobusha,105,0
Yamhill,325,38
Yankton,140,0
Yates,15,0
Yavapai,506,4
Yazoo,276,8
Yell,5,0
Yellow Medicine,11,0
Yellowstone,587,0
Yoakum,6,0
Yolo,587,24
York,4389,47
Young,32,0
Yuba,135,5
Yukon-Koyukuk Census Area,8,0
Yuma,216,0
Zapata,4,0
